text,negative,positive,type
BeckyCNN ImranKhanPTI ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
BenTigui ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
BenTigui ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul WhoIsMahdi,1,0,negative
Beside This All Bullshit You CENTCOM CIA usnavyseals USNavy Could Not Won Men Bare Footed Even Without Food for Days Won Its All About Will Power Not Gears Afganistan Kabul Taliban WarOnTerror USArmy Pakistan PakistanArmy PakistanZindabad OfficialDGISPR,1,0,negative
Bidens Order Kill somebody Blinken admits US doesnt know who was killed in Kabul airstrike review ongoing,2,0,negative
BigUpdate Rocket attack in Kabul Afghanistan More details awaited KabulAttack Kabul Afghanistan,1,0,negative
BigUpdate US wants a small military base in Northwest India US possibly negotiating with India for bases for over the horizon strikes on Afghanistan Taliban Kabul Pakistan Panjshir,1,0,negative
BilalY05 ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx iPhone 13 Afghanistan Taliban Kashmir Kabul,1,0,negative
Blackcaps abandoned PAKvNZ tour of Pakistan after New Zealand govts security alert Pakistani are furious and are terming it as a shame These hypocrites are forgetting that TTP is attacking on daily basis You dont know because media ignores it state is busy in Kabul,2,0,negative
Blinken Admits US Does Not Know Who They Killed In Kabul Drone Strike US PENTAGON Biden USA BlinkenHearing Kabul drone strike afternoonbriefing NEWS,3,0,negative
Blinken Faces Bipartisan Criticism Of Chaotic Afghanistan Withdrawal ,2,0,negative
Blinken admits US doesnt know who was killed in Kabul airstrike review ongoing,1,0,negative
Blinken defends chaotic Kabul withdrawal says Biden administration is now focused on threat to Afghan LGBTQI community ,2,0,negative
Blinken pushes back against Republican criticism at Afghanistan hearing,1,0,negative
Blinken says US doesnt know who was killed in Kabul drone strike amid review aidworker kabul dronestrike afghan panel civilians,2,0,negative
BlinkenHearing US Secretary of State AntonyBlinken admits the govt doesnt know whether the August drone strike killed an aid worker or ISISK militant in Kabul MollyGambhir brings you this report by susanmtehrani For more videos visit,2,0,negative
Bloomberg  AlQaeda may be able to reconstitute itself in Afghanistan and orchestrate attacks inside USA within 12 months two senior US intelligence officials said Biden Afghanistan Blinken Kabul Panjshir Pakistan,1,0,negative
Blue Dog news AFP BREAKING Qatar warns it may stop running Kabul airport if no clear agreement with Taliban ReporterDiary Kabul KabulAiport Taliban,1,1,negative
Brands of comedy die when comedians die and one of my favorite brands of comedy died with NormMacdonald BritneySpears Kabul earthquake,3,0,negative
Brave HazaraShia scholar to racist AshrafGhaniOur 60 population ws killed in Afghanistanby Pashtun kingu now open our turbans while u know that v never did any suicidal attack ever Kabul Panjshir NoToTaliban AmrullahSaleh ProtestAgainstPMC,3,1,negative
Breaking  Qatar warns it may stop running Kabul airport if no clear agreement with Taliban AFP reported ShamshadNews Qatar Taliban Airport Kabul,1,1,negative
Breaking  Several rockets hit Khair Khana in Kabul Locals confirmed the incident to AamajN and said that several rockets fired at the Chamtaleh substation in Kabul Details of the damage and casualties of this event are not yet available,3,0,negative
Breaking Afghan origin Indian national abducted in Kabul at gunpoint says Puneet Singh Chandhok President Indian World Forum MEAIndia has been informed Immediate intervention requested Afghanistan Taliban Kabul,1,0,negative
Breaking Devastating moment of Amrulleh Saleh after his brothers death Afghanistan Taliban Usa India Russia China Iran Panjshir PanjshirValley Internationalleaks Israel Afganistan Kabul UN Iraq syria Indonesia Japan SouthAfrica oman Turkey Nepal,2,0,negative
Breaking Devastating moment of Amrulleh Saleh after his brothers death Afghanistan Taliban Usa India Russia China Iran Panjshir PanjshirValley Israel Afganistan Kabul UN Iraq syria Indonesia Japan SouthAfrica oman Turkey Nepal,2,0,negative
Breaking European Parliament condemns Taliban violence in Afghanistan calls on the EU to invite NRF leader Ahmad Massoud to address the EU parliament Kabul Afghanistan Panjshir,2,0,negative
Breaking Former Vice President of Afghanistan Amrullah Saleh crying over the death of his elder brother Rohullah Saleh His brother was killed by Taliban in Panjshir AmrullahSaleh Taliban Kandahar Afganistan Talibans Kabul,8,0,negative
Breaking From Saturday 18 September Only Afghan male pupils teachers have the right to go to school Kabul Afghanistan,1,1,negative
Breaking Huge consecutive explosions are heard in Kabul City around KotaleKhair Khana Seemingly several mortar rounds impacted in unknown areas,3,0,negative
Breaking Rocket attack in Kabul Several rockets fired at the Chamtaleh substation in Kabul Massive power outage reported kabulattack Afghanistan,3,0,negative
Breaking Several rockets hit a power station in NW Kabul No one has claimed responsibility but eyes on ISISK Afghanistan,2,0,negative
Breaking Talibans captured weapons containers in Panjshir Afghanistan Taliban Usa India Russia China Iran Panjshir PanjshirValley Internationalleaks Israel Afganistan Kabul UN Iraq syria Indonesia Japan SouthAfrica oman Turkey Nepal,1,0,negative
Breaking Talibans captured weapons containers in Panjshir Afghanistan Taliban Usa India Russia China Iran Panjshir PanjshirValley Israel Afganistan Kabul UN Iraq syria Indonesia Japan SouthAfrica oman Turkey Nepal,1,0,negative
Breaking Video of the Taliban using one of the 5 helicopters it acquired to patrol the city of MazareSharif in N Afghanistan This is possibly a UH60 Black Hawk that was captured a couple of weeks ago Resistance Kabul Panjshir NRF,1,0,negative
Breaking What if Talibans organise a fashion Fashion show in Kabul Afghanistan Taliban Usa India Russia China Iran PanjshirValley Israel Afganistan Kabul UK UN Iraq syria Indonesia Japan SouthAfrica oman Turkey Jordon Nepal,3,0,negative
BreakingNews  Another attack on Pakistan Army in North Waziristan 05 Pakistani Army Soldiers eliminated by TTP Afghan Afghanistan Kabul USArmy USA Pakistan Pakistanarmy IEA TTP Pashtun Waziristan HappyBirthdayModiji VishwakarmaPuja HappyBdayModiji,1,0,negative
BreakingNews Mullah Abdul Ghani Brother video surfaces Clear denial of being killed or injured He said that he is well and there is complete unity in the ranks of the Taliban Afghanistan Taliban Kabul,2,2,negative
Breeezly1 gatewaypundit Fallout from Bidens rout from Kabul,1,0,negative
BreitbartNews BreitbartNews Blogger President Biden threatens ISIS they are certainly shaking with fear Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,3,1,negative
Burial service for fallen Marine Sgt Johanny Rosario is underway Lawrence Kthere are hundreds of active duty Marines veterans and bikers dedicated to US military  veterans here,2,0,negative
BushraPmln ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
But no shortage of brutality oppression  One month after fall of Kabul economic crisis stalks Taliban,3,0,negative
CCTV footage accessed by international media cast doubts over the August 29 US drone strike in Kabul Afghanistan UnitedStates,2,0,negative
CENTCOM Launches Inquiry Into Kabul Drone Strike That Killed 10 Civilians The military claims the strike targeted ISISK but a New York Times investigation found the target was an aid worker by Dave DeCamp DecampDave Afghanistan Kabul ISISK drone,3,0,negative
CENTCOM Launches Inquiry Into Kabul Drone Strike That Killed 10 Civilians The military claims the strike targeted ISISK but a New York Times investigation found the target was an aid worker by Dave DeCamp DecampDave Afghanistan Kabul ISISK drone K,3,0,negative
CENTCOM opens command civilian casualty investigations into Kabul drone strike that US said killed ISISK terrorist DeptofDefense Afghanistan,2,0,negative
CIA Massoud is going wrong way Explain him war is only where is resistanceEvery other part of Afghanistan is fine Explain him that sharia law is just in brain  fiction It doesnt existwhen Talibans turn their heads freedom is everywhere Nobody cant rule people Kabul,2,2,negative
CNN CNN Blogger President Biden threatens ISIS they are certainly shaking with fear Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,3,1,negative
CNN ChrisCillizza ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Capitalism Raab as deputy PM lord chancellor and justice secretary He of sun and sangria while Kabul burned Johnson lost his wits Abolish Capitalism JohnsonOut,3,0,negative
CaptionForToday SecBlinken ABlinken Even though Im mad AFTime to cut the losses Taliban Afghanistan Kabul POTUS VP SecDef SpeakerPelosi GOPLeader SenSchumer PFPAOfficial PentagonPresSec USNorthernCmd StateDept DeptofDefense,2,0,negative
Cash crisis in Afghanistan A number of Kabul residents are complaining about the lack of a clear plan to get their money from banks Residents say that they cant get their money yet Afghani COVID19 Kabul,2,1,negative
Changing the signboard will not change the reality Taliban changed ministry of women affairs of Afghanistan to ministry of propagation of Islamic virtue and the prevention of vice FreeAfghanistan Afghanistan Kabul,1,0,negative
Check MAbdullahGul from Pakistan on this short report of US human rights violations war crimes in Afghanistan Taliban Kabul Kabulairport Talibans,1,1,negative
China asks Afghanistan to shun terrorism vows more aid  Afganistan Kabul PancakeSwap Pakistan BBNajia6 BBOTT NCT127 NCT127Sticker NFTCommunity iPhone13Pro YogiAdityanath MUFC NarendraModi fridaymorning dfp21 Rose,2,0,negative
ChinaPakistan Economic Corridor is most important part of Chinas billiondollar ambitious BeltRoad plan Salim Mandviwala who chairs the Standing Committee of Pakistan Senate said Pak ruined CPEC Chinese companies frustrated Iran Afghanistan USA Kabul Taliban ISIS,1,0,negative
Chris Barrie on the fall of Kabul seeing how the evacuation unfold was horrible Hugely disappointing in Afghanistan for you but what about us as Afghans We have suffered decades of war instability and insecurity QandA ActionforAfghanistan,3,0,negative
Clashes between Durrani and Ghajili MullahBaradar was shot by haqqani network he was injured that time and no confirm news of his life And his whereabouts are hidden Afghanistan kabul usa panjshir PanjshirResistance,2,0,negative
Congress new Afghanistan challenge Bipartisan oversight of Bidens Pentagon Afghanistan JoeBiden Taliban Kabul Pentagon USForces Iraq Iran Turkey AlQaeda ISIS AfghanUlemaCouncil NATO SIGAR PeaceAgreement LloydAustin Evacuation,1,0,negative
Cornell informs takes action on Afghanistan Afghan American Asian Bangladesh CornellUniversity ForeignPolicy Iraq Kabul Libya NATO NewYork Research SAP Taliban UnitedStates University Women York,1,0,negative
CostOfWar inquiries 20 yrs of occupation is 7300 days in total per day spending 300 million   219 trillion in total 40 million Afghan population USD 54750 spent on each Afghan But thanks to US selected corrupt regimes Afghanistan AppleEvent MetGala Kabul USArmy,1,1,negative
Credible sources claiming a massive power outage in several parts of Kabul ISIS doing the same things that the Taliban were doing for the last 20 years After 20 years we say Taliban take over in at least 1 or 2 years we will see Islamic State reemerging in Afghanistan,3,0,negative
DC is upset coz it couldnt get its dummy regime in KabulKhow very sadKtsk tskPOTUS JoeBiden couldnt get his teddy bear in Afghanistan This entire dummy game of deep state of US has killed many American soldiers in useless wars to profit a small group of elite only,3,0,negative
DISPATCHES  Over the last week alone the Taliban detained later released at least 14 journalists covering protests in Kabul and at least nine of these journalists were subjected to violence during their arrests or detention  pressfreedom,1,0,negative
Daily reminder We Afghans lost this war Daily remember The Afghan genocide continues on the both sides of the Durand Line Daily remember The war is not ended in Afghanistan Daily remember This peace is temporary May Allah protect us Afghanistan Kabul,1,1,negative
DamnLies Afghanistan fell to Pak stooge Taliban when US forces under POTUS JoeBidens command fled Bagram stealthily in cowardly way in the middle of July23night for its well knownwho controls Bagrambasecontrols Kabul AfghanWomenmen betrayed SanctionPakistan,2,1,negative
Day 19 of US military forcibly releasing the dogs to lonely fear at kabulairport Thank you to those troops that cared while kabulsmallanimalrescue struggled for 5 days there NO thanks to your higher ups who ordered this 82ndABNDiv secdef presssec operationhercules PETA,2,2,negative
Day 4 on a pencil drawing of Lance Cpl David Espinoza for his Mom Elizabeth Holguin Espinoza was 20 yo from Rio Bravo TX 1 of 13 US Svc Members killed in the recent terrorist attack in Kabul Much more to follow soon USMarines USMilitary Kabul KIA SemperFi,2,1,negative
Deal made Airport attacked Women assaulted Retaliation questioned Not a secret They dont talk about replacing head of government with inmateXonly were finding out so much more Kabul,2,0,negative
Dear PTIofficial MaddyWithKhan SHABAZGIL FaisalJavedKhan FarrukhHabibISF findbuildinvent a Haqqani Tribe in Afghanistan otherwise its really embarrassing ImranKhanPTI ImranGhazaliPK Ghummans arslankhalidm Kabul IndianDisinfoExposed FakeNews Taliban Pakistan,1,0,negative
Dear SecBlinken  The Kabul Evacis NOT within StateDept jurisdiction as lead dept as you were only assisting in vetting and SIVs The critical error  beyond not comprehending ODNIgov reports that Afghan forces will collapse  is of giving away Bagram 1st So say it,2,1,negative
Dear if you take away my legs I will fight you with my hands if you take away my hands I will fight you with my voice if you take away my voice my Soul haunt you till the day of judgementAfghanistan Pakistan Taliban TTP Kabul Waziristan,1,0,negative
Dear jacindaardern clearly you dont have an independent foreign policy you are still a colony of England You had won our hearts after Christchurch attack but today you lost everything Well played England youve won the WC Shame Kabul PakvsNz PAKvNZ Pakistan,3,1,negative
Delhi  India monitoring probe by Afghan authorities into missing Indian national in Kabul says MEA READ India Afghanistan AfghanistanDisaster Kabul AfghanistanCrisis MEAIndia,1,0,negative
Despite Pakistani meddling cowardly flight to UAE while nation burned Aug 15th Kabul,1,0,negative
Devil of Afghanistan He must be arrested and charged for his crimes If World can charge SaddamGaddafi and Morsi why can DostomAhmed Masood and AmrullahSaleh2 be charged Panjshir Donttouchmyclothes Kabul Afghanistan,2,0,negative
DianaFarhat12 In the past 20 years Afghan women had a very hard time Specially because khorasanis from Panjshir made their life miserable harassments and abuse And now the Taliban When does it end standwithAfghanwomen Afganisthan Kabul Panjsher,3,0,negative
Did the US military get the wrong target killing 10 innocent civilians in a drone strike in Kabul Afghanistan CNN investigation raises doubts about US version of events sandssidhu juliaholli,4,0,negative
DineshDSouza Great points The reckless bombing of friendly aid workers in Kabul was the result of Biden not caring about the results but about optics American people want to see a response to ISISK bombing so pick a whatever target and we say we retaliated,3,1,negative
Discover Ehtesab the startup built in Kabul by 26yearold Sara Wahedi that has developed an app to keep the population updated in real time on emergency situations or danger in the city Congrats Sara,1,0,negative
Do watch the BBC Documentary on Afghanistan when the Northern Alliance took over Kabul in 2001 Panorama Afghanistan The Fall of Kabul 2001 18th Nov,1,0,negative
Dogs of War In a makeshift training centre at Kabul airport dozens of dogs that were left behind during last months chaotic evacuations from Afghanistan have found a new home,1,0,negative
Dont we ask or decide that how much air time they will give to PM ImranKhanPTI So far CNNConnect has only given 5 mints to PMIK Guys SHABAZGIL fawadchaudhry FaisalJavedKhan shame on you This is really inexcusable media management PMIKvisitsTajikistan FakeNews Kabul,1,0,negative
DontCry ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Doubtful a united Taliban governmentdispensation can be formed in Kabul when Baradars authority is being challenged by the Haqqanis  An angry Baradar has returned to Kandahar Is this the beginning of 2 Taliban govts 1st in Kandahar 2nd in Kabul,1,0,negative
Dr Tedros Adhanom Ghebreyesus the Director General of the World Health Organization WHO Tuesday thanked Qatar for facilitating the delivery of critical WHO health supplies to Kabul Afghanistan DrTedros,1,1,negative
DrOmarZakhilwal Sleeping with Gun totting mass murderers at war with Afghanistan how long before the power hungry blood thirsty locust replace you with little Terrorist  PANJSHIR Panjshir PanjshirValley Kabul,1,0,negative
Drastic fall in property demand and prices in Kabul rent of flats down by 50 AfghanistanCrisis Afghanistan TalibanTakeover,2,0,negative
Droning Disasters A US Strike on Kabul,1,0,negative
During last 1 year America just didnt lose Afghanistan It lost democracy at home and hegemony abroad Afghanistan USArmy ISIS TrumpCult Hypocrites Kabul BidenMustResign,2,0,negative
Dusty has been a KSAR pup released at Kabul Airport The owner is looking for her Please spread the word NoPawsLeftBehind Afghanistan OperationHercules warpaws Kabul KabulAirport,1,0,negative
Dutch government acted irresponsible before the fall of Kabul Dutch embassy asked Dutch government to evacuate Afghan employees months before the fall all calls were ignored Only a few days before the fall did the government act,3,0,negative
Duty is a KSAR pup released at Kabul Airport who is yet to be found and is very much loved Please lets help Jose get the word out alongside KSARs ongoing efforts NoPawsLeftBehind OperationHercules warpaws dogsarefamily Kabul KabulAirport,1,1,negative
EconomistPods As atrocities fail to materialize EconUSEconomistPods predictably shifts to poverty in afghanistan as if the Kabul economic bubble we created was ever sustainable,1,0,negative
Ehtesab App helps Afghans navigate Kabul LikeCitizen an app in the United States for realtime crime alerts Ehtesab collects verifies reports of incidents from around Kabul everything from faulty telecommunications to planned demonstrations,1,0,negative
Emergency Meeting PM Khan to meet Putin Xi Jinping Pakistan SCOSummit VladimirPutin XiJinping China Russia Emergency BREAKING BreakingNews Afghanistan AfghanistanCrisis Kabul Taliban ImranKhanPTI KremlinRussiaE xijingping,1,0,negative
EmilyCutlass AngeMich2 RhinoAlive PenFarthing Nowzad PeterEgan6 domdyer70 I know that but pets are not People funded the plane because of dogs and cats not the vets Anyway neither were in danger but valuable time space and resources were used up evacuating them so people who were actually in danger were unable to leave racism nowzad Kabul,3,0,negative
EmilyCutlass AngeMich2 RhinoAlive PenFarthing Nowzad PeterEgan6 domdyer70 and further this farcical episode handed Islamic extremists a priceless recruiting tool as they can claim that the West values dogs over the people of Afghanistan  which the ginaddled old dears who make up your twitter army clearly do taliban Kabul,1,1,negative
Emotional meeting last night at the Baobab where Prof Liza Schuster came to discuss her recent experience of leaving Kabul w our Afghan young people Many questions about the problems with family reunion and long waiting times People need protection now RefugeesWelcome,1,1,negative
EngrNaveed111 ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Ernst honors Marine Cpl Daegan WilliamTyeler Page killed in Kabul attacks PJNET ccot tcot tlot gop maga trump biden afghanistan kabul,2,2,negative
Ever since the Taliban took over Afghanistans capital on August 15 the wartorn countrys already fragile economy has spiralled into despair The New York Post reported Kabul,1,0,negative
Every day after Kabul fall Taliban TTP are attacking on our security forces with suicide attack in tribal areas of Pakistan How we can say that there is no threats NewZealand NZvPAK,4,0,negative
Everyone wants life liberty and opportunity But can you imagine having it then losing it In days Meet Noor He worked for USA in Afghanistan  Now his family is trapped in Kabul  Learn what StateDept is doing to help podcast spotifypodcasts,2,1,negative
Exactly a month ago in Kabul Long queues in front of banks the traffic mess the panic among people as news broke out Taliban reached the Presidential palace,3,0,negative
Exactly one month since Kabul fell to the Taliban It was around these hours in a dark Kabul night when they entered the city I was looking at the Kabul sky and felt like the city is stripped of its soul The fear for what will come next was still is bonecrushing,3,1,negative
Excellent documentary The fall of Kabul The last days of the war in Afghanistan  Four Corners,1,1,negative
Excited to be introducing our second guests on Been There Seen that  MujibAbid and SalmaAbid21 The Abid siblings spoke to us about one of the most talked about places in the world at the moment  Afghanistan after fleeing Kabul just over 3 weeks ago NewEpisode Sunday,1,0,negative
Executed killed got hangedK apparently not enoughK Taliban needed to open fire to dead bodies Cruelty without borders talibans Afganistan The Taliban pakistan AfghanWoman Afghanistan Kabul biden PANJSHIR KalpYarasi Osama Bin Laden,2,0,negative
Eyewitnesses say several rockets have hit in Chemtala area in the northern part of Kabul city on Thursday night No reports of casualties and damages yet Afghanistan Paykmedia Kabul,1,0,negative
FG252 AFG252 flight inbound kabul place of departure unknown,1,0,negative
Failure in Kabul is not the problem Rather it is part and parcel of a more broadly failed nationbuilding strategy in Somalia Haiti Iraq Libya and Afghanistan From JohnHulsman1,6,0,negative
Fallen Lawrence Marine awarded Purple Heart laid to rest Marines KIA Kabul Afghanistan PurpleHeart,1,1,negative
Fareeha426 ArifRetd ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
FcMutuals ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,2,0,negative
FcMutuals ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx iPhone 13 Afghanistan Taliban Kashmir Kabul,1,0,negative
Fears rise over Rwanda army in Mozambique after murder of exiled President Kagame critic,3,0,negative
Female players from Afghanistans junior national soccer team have crossed the border into Pakistan The girls had spent the past month in hiding amid fears of a crackdown on womens rights by the Taliban Kabul AfghanWomen,1,1,negative
Firouze6366 ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul WhoIsMahdi,1,0,negative
First it was AmrullahSaleh then AhmadMassoud now Rigestani a leading commander in NRF northernalliance PANJSHIR group has escaped to tajikistan Resistance is falling apart So much for fighting till death Kabul Afghanishtan,2,1,negative
Flags Honoring 13 US Servicemembers Killed in Kabul Vandalized,1,1,negative
For India the principal dilemma has been whether to engage the Taliban or not as it consistently supported the elected government in Kabul Having closed her Embassy and Consulates India has no representative in Kabul notes pinakchakrvarty,2,2,negative
For decades the traditional Afghan burqa mostly sold in shades of blue was synonymous with AfghanWomen s identity around the world but The girls who are the future of Afghanistan They are most afraid of the future of the blue prisons  Afghanistan Taliban Kabul,2,0,negative
Former US envoy Zalmay Khalilzad blames exiled and former Afghan president ashrafghani for allowing Islamists to march into Kabul Ghanis escape derailed lastditch deal with Taliban,1,0,negative
Former president Ashraf Ghanis abrupt exit scuttled deal in which Taliban would hold off entering Kabul and negotiate political transition V US negotiator on Afghanistan Zalmay Khalilzad,1,0,negative
FormerSoviet states set to beef up joint military missions on Afghan border to head off risk of instability after US Kabul withdrawal RTRussia US Afghanistan,1,0,negative
FoxNews FoxNews Blogger President Biden threatens ISIS they are certainly shaking with fear Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,6,2,negative
France killed Islamic State leader Adnan Abu Walid alSahrawi in Greater Sahara because he attacked French aid workers USA troops French President Emmanuel Macron announced death of enemy No1 Iran IsraeliCrimes IsraeliTerrorism Afghanistan Kabul Taliban Panjshir,3,0,negative
FreeAfghanistan Bitter truth of today Pic of the day TalibanUpdated Taliban Afghanistan USArmy Pakistan Kabul Panjsher,1,0,negative
Friction among Taliban pragmatists hardliners intensifies Afghanistan JoeBiden Taliban Kabul Pentagon USForces Iraq Iran Turkey AlQaeda ISIS AfghanUlemaCouncil NATO SIGAR PeaceAgreement LloydAustin Evacuation Refugees,1,0,negative
Friction among Taliban pragmatists hardliners intensifies Taliban under a lot of pressure as it tries to consolidate its power gain legitimacy and address major policy challenges Kabul Uruzgan Samangan Ghor Jalalabad Kandahar Khost,1,1,negative
From Kabul to Darfur the West is in retreat,1,0,negative
FrudBezhan ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
GRAPHIC 18 WAR CRIME Video of Taliban hanging 2 men and then shooting them in Panjshir Afghanistan Kabul WarCrimes Resistance Herat MazareSharif,2,0,negative
Gabby Petito is a Pisces Born on 19 March so she is a very difficult personality with emotional roller coaster GabbyPetito Pisces PISCES Moab Utah BrianLaundrie Tiktok YouTubeShorts YoutubeGaming MetGala fridaymorning LIrk Kabul KabulAttack HappyBirthdayModiji,1,0,negative
Gen Mark Milley chair of the US joint chiefs of staff continues to defend it as a righteous strike despite evidence showing there were no IS bombs Kabul Afghanistan Ahmadifamily justice,2,0,negative
GeneralBakshi SIR WE NEED FOOD BADLY IN PANJSHIR PLEASE HELP US WE ARE BRINK OF STARVATION PLEASE SEE AFAR CAN BE DONE  STANDWITHPANJSHIR NRF NAF2 RESISTANCE2 KABUL AmrullahSaleh Panjsher LionsOfPanjshir ahmadmassoud01 Panjshir Afghanistan NationalUprising,2,0,negative
Get 15 off 20 on Uber Eats with code eats81fjyt tiktokdown EpicPartner ShibaArmy BabyTrump ADAPAD BSCGem cnn ubereats doordash postmates ubereatscode ubereatspromo cred Kabul BREAKING,1,0,negative
Ghanis Fleeing Ruined LastMinute Deal Khalilzad Kabul Afghanistan AfghanistanCrisis,2,0,negative
GlennKesslerWP ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Great points The reckless bombing of friendly aid workers in Kabul was the result of Biden not caring about the results but about optics American people want to see a response to ISISK bombing so pick a whatever target and we say we retaliated,3,1,negative
GuardianAus And the Bluff continues Neither Pres ashrafghani nor Afghan Army but only AIPAC driven WashingtonDC By leading Washington into Taliban Abyss AIPAC tanked USA its 20 years of Nourishing a Civilization out of abyss Afghanistan Kabul Panjshir DrabdullahCE,3,2,negative
HARRYS1DEMPIRE ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
HRMIrene ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,2,0,negative
HRMIrene ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistani Afghanistan Taliban Kashmir Kabul CNN,2,0,negative
HabibKhanT ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistani Afghanistan Taliban Kashmir Kabul CNN,3,0,negative
HabibKhanT MaxFerrari HabibKhanT MaxFerrari Blogger President Biden threatens ISIS they are certainly shaking with fear Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,3,1,negative
HabibKhanT Shame on u USA and your allies Shame on you Pakistan Shame on you Qatar Karma will get u right back for this solidaritywithafghanwomen afghangenocide BoycottQatar2022 NationalResistanceFront SanctionPakisan kabul herat bbc ARD,3,1,negative
HamidMirPAK ImranKhanPTI CNN ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx iPhone 13 Afghanistan Taliban Kashmir Kabul,1,0,negative
HamidMirPAK ImranKhanPTI CNN ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Happening now Live from Kabul Director of FAOemergencies at UNSpokesperson noon briefing stressing the urgency behind scaling up food production in Follow live,1,0,negative
Haqqani network militant doortodoor searching former Afghan Govts intl ally in Kabul today a former Afghan and US ally contact me from KBL that militant searching about him in many locations to find him and kill him CENTCOM hrw USEmbassyKabul OHCHRAsia,1,0,negative
Hard But Truth AmrullahSaleh Taliban Kabul Afghanistan Pakistan RamizRaja IndianDisinfoExposed,1,0,negative
Has Kim Kardashian joined the terrorist Taliban regime as the minister of booty Taliban Terrorism Terrorists Afghanistan Panjshir Valley Afghan Women Resistance Pakistan India Kashmir Kabul US USA United States UN Nations SanctionPakistan Ahmad,1,0,negative
He created more than 2200 murals across Kabul since 2014 to campaign for peace social justice n accountability but OSharifis ArtLords have been painted over n replaced by Taliban propaganda slogans,1,0,negative
He writes to all his friends and colleagues Do you know anyone who needs to get out of Afghanistan He starts drawing up a list of individuals in danger He starts collecting names CVs documents kabul afghanistan,1,0,negative
Here in Kabul Taliban have rebranded Ministry of Women New name is Ministry of Enjoining what is right and forbidding what is wrong afghanistan Taliban,3,1,negative
